Station,Persistence,GHI_Only,GHI_Harmonics,GHI_Harm_Wx
Bondville IL,147.9589313,115.7690185,113.6988966,111.8758886
Goodwin Creek MS,151.4805346,119.7926328,115.4359995,113.5179239
Hanford California,83.9731039,70.91735416,71.31245882,69.92524058
Millbrook NY,145.5851361,108.298834,108.8223696,110.2798821
Natural Energy Laboratory HI,120.5693083,95.11155666,95.1288824,94.01578407
Salt Lake City Utah,130.5024996,101.0892882,99.88102284,97.31444447
Seattle Washington,121.7908756,92.7262806,94.25539569,92.67948915
Sterling Virginia,153.4086846,114.2432202,113.817776,114.6826213
Table Mountain Boulder CO,135.9147525,107.14872,105.1633759,105.1679191
Titusville FL,130.5936415,101.1086807,99.33493762,99.99111254
