,Station,Features,Iteration,Persistence_Performance,Model_Performance
0,Natural Energy Laboratory of Hawaii Authority,GHI_Only,0,120.56930830830022,95.11155665995045
1,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,0,120.56930830830022,148.40428040476726
2,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,0,120.56930830830022,94.0157840681867
3,Seattle Washington,GHI_Only,0,121.79087557340085,95.04758299887897
4,Seattle Washington,GHI_Harmonics,0,121.79087557340085,94.2967916295144
5,Seattle Washington,GHI_Harmonics_Weather,0,121.79087557340085,92.95419922993699
6,Hanford California,GHI_Only,0,83.97310389651767,76.12213051464799
7,Hanford California,GHI_Harmonics,0,83.97310389651767,73.1888122645621
8,Hanford California,GHI_Harmonics_Weather,0,83.97310389651767,69.92524058177426
9,Salt Lake City Utah,GHI_Only,0,130.50249959483472,101.08928819211663
10,Salt Lake City Utah,GHI_Harmonics,0,130.50249959483472,99.88102283844788
11,Salt Lake City Utah,GHI_Harmonics_Weather,0,130.50249959483472,101.15277769550542
12,Table Mountain Boulder CO,GHI_Only,0,135.914752545711,107.2189158484861
13,Table Mountain Boulder CO,GHI_Harmonics,0,135.914752545711,106.91327112460611
14,Table Mountain Boulder CO,GHI_Harmonics_Weather,0,135.914752545711,107.44026382884634
15,Goodwin Creek MS,GHI_Only,0,151.48053461722208,122.8433819710856
16,Goodwin Creek MS,GHI_Harmonics,0,151.48053461722208,117.10416013480553
17,Goodwin Creek MS,GHI_Harmonics_Weather,0,151.48053461722208,114.0952705631244
18,Bondville IL,GHI_Only,0,147.95893128363653,116.42379536028558
19,Bondville IL,GHI_Harmonics,0,147.95893128363653,115.46082010519737
20,Bondville IL,GHI_Harmonics_Weather,0,147.95893128363653,113.43354434422801
21,Titusville FL,GHI_Only,0,130.59364148935123,101.74035317952526
22,Titusville FL,GHI_Harmonics,0,130.59364148935123,104.83927612819707
23,Titusville FL,GHI_Harmonics_Weather,0,130.59364148935123,100.91374628487365
24,Sterling Virginia,GHI_Only,0,153.40868464738878,116.78725095802355
25,Sterling Virginia,GHI_Harmonics,0,153.40868464738878,115.70042947494683
26,Sterling Virginia,GHI_Harmonics_Weather,0,153.40868464738878,114.68262132605635
27,Millbrook NY,GHI_Only,0,145.58513607999345,110.83527384667602
28,Millbrook NY,GHI_Harmonics,0,145.58513607999345,109.03220173077189
29,Millbrook NY,GHI_Harmonics_Weather,0,145.58513607999345,115.54324791966569
30,Natural Energy Laboratory of Hawaii Authority,GHI_Only,1,120.56930830830022,97.55263819444079
31,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,1,120.56930830830022,95.12888239501328
32,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,1,120.56930830830022,95.39513503888364
33,Seattle Washington,GHI_Only,1,121.79087557340085,93.01046689354726
34,Seattle Washington,GHI_Harmonics,1,121.79087557340085,94.25539569236699
35,Seattle Washington,GHI_Harmonics_Weather,1,121.79087557340085,92.97877306302009
36,Hanford California,GHI_Only,1,83.97310389651767,70.91735415872004
37,Hanford California,GHI_Harmonics,1,83.97310389651767,71.31245881841025
38,Hanford California,GHI_Harmonics_Weather,1,83.97310389651767,71.77048890985307
39,Salt Lake City Utah,GHI_Only,1,130.50249959483472,102.18213512741492
40,Salt Lake City Utah,GHI_Harmonics,1,130.50249959483472,100.50178159011966
41,Salt Lake City Utah,GHI_Harmonics_Weather,1,130.50249959483472,100.04363472865177
42,Table Mountain Boulder CO,GHI_Only,1,135.914752545711,107.3363553711865
43,Table Mountain Boulder CO,GHI_Harmonics,1,135.914752545711,105.16337591392008
44,Table Mountain Boulder CO,GHI_Harmonics_Weather,1,135.914752545711,106.78280739599226
45,Goodwin Creek MS,GHI_Only,1,151.48053461722208,119.79263284834903
46,Goodwin Creek MS,GHI_Harmonics,1,151.48053461722208,116.59293902423804
47,Goodwin Creek MS,GHI_Harmonics_Weather,1,151.48053461722208,113.51792385683346
48,Bondville IL,GHI_Only,1,147.95893128363653,115.9198732939768
49,Bondville IL,GHI_Harmonics,1,147.95893128363653,113.69889659009591
50,Bondville IL,GHI_Harmonics_Weather,1,147.95893128363653,114.40833358881757
51,Titusville FL,GHI_Only,1,130.59364148935123,101.1086806775403
52,Titusville FL,GHI_Harmonics,1,130.59364148935123,100.59614261951296
53,Titusville FL,GHI_Harmonics_Weather,1,130.59364148935123,99.99111254091669
54,Sterling Virginia,GHI_Only,1,153.40868464738878,118.10565785674513
55,Sterling Virginia,GHI_Harmonics,1,153.40868464738878,115.20837120068148
56,Sterling Virginia,GHI_Harmonics_Weather,1,153.40868464738878,115.716140194586
57,Millbrook NY,GHI_Only,1,145.58513607999345,111.25426680207583
58,Millbrook NY,GHI_Harmonics,1,145.58513607999345,109.77015641653088
59,Millbrook NY,GHI_Harmonics_Weather,1,145.58513607999345,120.17703166443303
60,Natural Energy Laboratory of Hawaii Authority,GHI_Only,2,120.56930830830022,97.8485821753417
61,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,2,120.56930830830022,125.13226829609104
62,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,2,120.56930830830022,94.93673904899322
63,Seattle Washington,GHI_Only,2,121.79087557340085,92.72628059748777
64,Seattle Washington,GHI_Harmonics,2,121.79087557340085,107.13497418370712
